[DEBUG] 2018-10-16 22:29:40.816 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@7daa0fbd
[DEBUG] 2018-10-16 22:29:40.816 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@6f44a157
[DEBUG] 2018-10-16 22:29:40.823 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@3bd323e9
[DEBUG] 2018-10-16 22:29:40.827 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@3bd323e9
[DEBUG] 2018-10-16 22:29:40.827 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@4ff8d125
[DEBUG] 2018-10-16 22:29:40.839 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@30c93896
[DEBUG] 2018-10-16 22:29:40.839 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@30c93896
[DEBUG] 2018-10-16 22:29:40.842 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@106cc338
[DEBUG] 2018-10-16 22:29:40.842 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@106cc338
[DEBUG] 2018-10-16 22:29:40.843 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@15713d56
[DEBUG] 2018-10-16 22:29:40.844 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@600b90df
[DEBUG] 2018-10-16 22:29:40.845 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@3d9c13b5
[DEBUG] 2018-10-16 22:29:40.850 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@2f67b837
[DEBUG] 2018-10-16 22:29:40.850 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@2f67b837
[DEBUG] 2018-10-16 22:29:40.851 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@6cce16f4
[DEBUG] 2018-10-16 22:29:40.851 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@7efaad5a
[DEBUG] 2018-10-16 22:29:40.855 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@291a7e3c
[DEBUG] 2018-10-16 22:29:40.856 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@ca30bc1
[DEBUG] 2018-10-16 22:29:40.856 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@1046d517
[DEBUG] 2018-10-16 22:29:40.857 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@3b7d3a38
[DEBUG] 2018-10-16 22:29:40.857 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@416c58f5
[DEBUG] 2018-10-16 22:29:40.858 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@5505ae1a
[INFO ] 2018-10-16 22:29:40.875 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.jdbc.Driver at URL: jdbc:mysql://localhost:3306/test_VetHunHelping
[INFO ] 2018-10-16 22:29:40.876 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {user=root, password=****}
[INFO ] 2018-10-16 22:29:40.876 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2018-10-16 22:29:41.364 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
